Project Name,Project Description,Project Type,Project Manager,Region,Department, Project Cost , Project Benefit ,Complexity,Status,Completion%,Phase,Year,Month,Start Date,End Date
"Fierce, Inc.","While Traditional Marketing Approaches Have Never Been More Expensive, Is A Solution For Founders Who Want To Win At Content Marketing. Our Team Of Experienced Marketers Has Created A Proprietary Algorithm, Which Is Continuously Learned And Improved.",COST REDUCTION,Brenda Chandler,North,Warehouse,"45,57,606.00","90,14,448.00",High,Completed,100%,Phase 5 - Measure,2021,4,04-01-2021,07-01-2021
Town Hall Meeting,"Was Founded By A Group Of Marketers Who Were Tired Of Relying On Content Creation Scripts And Templates, And Wanted To Run A Business With The Perfect Balance Of Creativity And Efficiency. We Believe That Automation Is The Key To Optimizing The Way We Create And Consume Content And We Want To Give Founders And Marketers The Same Tools We Use To Scale Our Own Content Marketing Efforts.",COST REDUCTION,Nyasia Hunter,North,eCommerce,"34,42,649.00","90,70,797.00",Low,Completed,100%,Phase 2 - Develop,2021,5,05-01-2021,08-01-2021
Passion Chasers,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Technology \N \N Ai-Powered Content Management System For Cmos",COST REDUCTION,Brenda Chandler,South,Supply Chain,"59,53,512.00","85,86,905.00",Medium,Cancelled,89%,Phase 2 - Develop,2021,6,06-01-2021,09-01-2021
Static Startup,"If You Are Making Less Than $50,000 With Your Startup Company, You’Re In Luck. Companies Who Are Making Less Than That Are Eligible For The Associations Now Program. Associations Now Is An Algorithm That Helps Startups Find Niche Or Narrow Topics That Are Related To Your Industry Or Target Audience. It Is Like Word Of Mouth Marketing, But You Pay For It!",COST REDUCTION,Jaylyn Mckenzie,East,Admin & BI,"58,69,643.00","88,02,862.00",High,Completed,100%,Phase 3 - Plan,2021,12,12-01-2021,03-01-2022
Yoda,"A New Method For Creating Content Is On The Horizon. Instead Of Grinding Away At A Text Editor, Is A Brand New Solution For Founders Who Want To Win At Content Marketing. By Using A Proprietary Ai, Analyzes The Competition For Your Topic Online Based On The Density Of Articles (Seo), Average Length (Ltv), Content Analysis (Average Article Quality), And Other Popular Ranking Factors To Act As Your Content Marketing Coach. This Means You Can Create Optimized Content Faster With State-",COST REDUCTION,Yael Wilcox,North,Admin & BI,"58,59,707.00","86,97,391.00",Medium,In - Progress,80%,Phase 4 - Implement,2022,7,07-01-2022,10-01-2022
Match Of Health,Quickly Identify Who Your Competition Is On Any Given Topic-Using Ai Learn How To Create Optimal Content Faster With State Of The Art Ai Generation-Compete On Topics Across Industries-Discover What Content Works,COST REDUCTION,Kamari Norris,West,eCommerce,"41,72,827.00","89,42,009.00",High,In - Progress,75%,Phase 1 - Explore,2022,7,07-01-2022,10-01-2022
No-Bull Bootcamp,"Is The Only Ai-Enabled Content Marketing Tool That Helps Founders Win At Content Marketing. Built By Marketers For Marketers, Our Proprietary Ai Technology Analyzes The Competition For Specific Topics, And Our Content Generation Engine Provides State Of The Art Ai-Generated Content For Maximum Impact.",COST REDUCTION,Kamari Norris,West,Admin & BI,"27,45,999.00","85,67,877.00",Low,Cancelled,88%,Phase 4 - Implement,2022,9,09-01-2022,12-01-2022
School Leadership 2.0,"Want To Win At Content Marketing? Is Here To Help. We Give You The Capability To Output Highly-Optimized, Contextual Content Through Ai-Generated Content In Minutes. You Can Build In Content In Minutes Without Having To Even Write Anything. Our In-House Ai Takes Care Of The Optimizing Of All Your Content For Your Industry And Audience.",COST REDUCTION,Kamari Norris,West,Supply Chain,"44,97,364.00","90,22,111.00",High,Completed,100%,Phase 2 - Develop,2022,10,10-01-2022,01-01-2023
Road-To-Success Workshop,"Works With You To Win. You Can Get Started With 10 Days Free Trial.\N-Works With Any Size Company, No Matter Your Size\N-All Features Are Accessible From Our Wordpress Plugin",COST REDUCTION,Brenda Chandler,North,Admin & BI,"46,46,988.00","90,06,076.00",Medium,Completed,100%,Phase 2 - Develop,2022,12,12-01-2022,03-01-2023
Code Change Group,Join Up With The Leader Of The Pack. All Founders Need To Win At Content Marketing,COST REDUCTION,Nyasia Hunter,North,Supply Chain,"54,12,530.00","85,27,421.00",Medium,In - Progress,80%,Phase 2 - Develop,2023,1,01-01-2023,05-01-2023
